1,5,1,5
2,14,3,19
3,0,3,12
4,6,3,20
5,3,0,8
6,11,0,24
7,17,1,22
8,0,0,2
9,0,3,10
10,1,5,26
11,1,5,26
12,8,2,24
13,1,1,20
14,10,5,25
15,7,4,11
16,0,3,18
17,3,0,18
18,0,0,0
19,0,0,0
20,7,0,24
21,1,3,5
22,0,0,0
23,2,0,21
24,0,1,8
25,9,0,14
26,2,1,16
27,14,3,16
28,4,4,33
29,13,6,27
30,1,1,25
31,9,2,11
32,10,4,23
33,0,1,26
34,1,0,22
35,0,3,10
36,2,6,28
37,9,5,15
38,4,1,28
39,15,8,42
40,5,4,24
41,0,3,10
42,4,7,7
43,3,2,7
44,0,0,0
45,5,1,21
46,5,1,21
47,3,3,9
48,12,1,14
49,4,8,19
50,2,3,16
51,16,1,24
52,8,7,50
53,6,3,14
54,5,1,15
55,4,2,32
56,4,2,32
57,7,0,16
58,0,3,19
59,4,4,22
60,14,5,21
61,11,5,17
62,5,2,26
63,7,3,27
64,6,0,8
65,2,3,17
66,7,3,27
67,1,1,22
68,1,1,22
69,7,3,27
70,4,0,6
71,0,6,12
72,13,3,20
73,0,3,7
74,7,9,30
75,12,4,27
76,4,4,15
77,4,2,16
78,5,5,26
79,5,8,13
80,0,1,18
81,4,3,29
82,0,0,0
83,7,9,32
84,0,1,4
85,5,0,11
86,7,3,14
87,11,0,25
88,1,2,17
89,1,2,18
90,6,1,11
91,6,4,28
92,1,2,9
93,0,1,17
94,1,2,17
95,2,3,18
96,6,1,12
97,13,2,26
98,3,3,20
99,3,0,12
100,2,0,4
101,9,1,13
102,2,0,28
103,13,6,28
104,11,1,20
105,8,6,26
106,8,1,16
107,5,0,28
108,0,0,0
109,8,2,18
110,6,3,17
111,0,0,8
112,1,1,24
113,1,1,10
114,1,3,27
115,8,3,28
116,0,0,7
117,2,2,12
118,1,1,10
119,3,0,11
120,8,2,19
121,4,2,14
122,2,5,18
123,2,0,12
124,4,4,18
125,12,8,38
126,5,5,25
127,0,4,5
128,12,8,38
129,6,0,10
130,0,2,4
131,5,4,12
132,0,0,7
133,9,3,23
134,6,2,7
135,0,2,4
136,4,0,11
137,4,0,8
138,0,0,15
139,6,1,11
140,0,0,2
141,4,0,17
142,9,0,15
143,7,2,17
144,2,10,15
145,5,1,16
146,1,0,16
147,2,6,12
148,6,2,20
149,0,0,7
150,0,0,7
151,1,0,10
152,4,1,18
153,5,0,10
154,7,5,11
155,7,1,22
156,2,0,13
157,5,3,9
158,3,3,14
159,4,3,39
160,3,3,20
161,3,1,5
162,1,0,5
163,3,1,7
164,1,0,8
165,8,0,16
166,3,8,28
167,11,3,27
168,0,10,19
169,2,12,13
170,0,0,6
171,2,2,23
172,5,3,35
173,2,2,23
174,3,6,21
175,12,3,25
176,4,2,33
177,7,2,16
178,0,13,17
179,7,0,10
180,7,4,22
181,4,1,27
182,0,3,14
183,13,2,30
184,6,0,6
185,14,2,10
186,6,2,17
187,4,0,14
188,2,2,25
189,2,1,24
190,6,4,23
191,0,0,2
192,4,2,19
193,11,8,23
194,5,1,17
195,0,3,4
196,8,3,30
197,2,7,12
198,3,5,25
199,0,3,10
200,3,0,10
201,1,0,7
202,1,4,16
203,7,1,22
204,3,2,20
205,10,4,22
206,3,0,17
207,5,8,26
208,2,2,8
209,12,3,11
210,0,1,8
211,2,3,23
212,2,4,14
213,2,1,16
214,6,4,13
215,8,0,24
216,8,3,27
217,6,1,27
218,4,6,25
219,3,0,17
220,0,3,11
221,3,2,13
222,3,3,18
223,3,1,13
224,10,3,22
225,0,5,13
226,4,3,23
227,6,1,22
228,1,2,18
229,1,2,18
230,4,1,15
231,0,4,11
232,7,4,26
233,0,1,6
234,11,2,10
235,11,5,41
236,8,0,13
237,4,7,18
238,1,3,16
239,1,1,9
240,1,4,9
241,5,2,10
242,6,0,24
243,0,0,8
244,7,3,14
245,11,16,41
246,4,0,6
247,12,2,19
248,4,0,10
249,2,3,4
250,14,8,16
251,2,3,4
252,5,4,15
253,3,4,4
254,8,7,23
255,8,2,26
256,6,1,17
257,13,4,25
258,12,3,28
259,1,0,29
260,8,2,26
261,7,2,9
262,0,3,10
263,1,0,9
264,6,2,9
265,12,3,28
266,2,0,19
267,1,0,9
268,1,1,13
269,5,2,25
270,1,0,9
271,1,12,24
272,5,0,10
273,6,4,32
274,0,3,5
275,0,2,10
276,0,1,9
277,8,5,21
278,6,6,12
279,4,1,22
280,0,9,16
281,11,7,26
282,2,8,24
283,1,0,4
284,8,4,10
285,0,4,7
286,1,0,8
287,13,5,29
288,13,5,30
289,0,1,4
290,0,0,8
291,0,1,4
292,3,1,6
293,0,4,2
294,0,1,12
295,0,1,6
296,0,0,0
297,0,1,10
298,0,2,13
299,1,0,8
300,2,2,6
301,0,3,10
302,2,7,25
303,0,2,12
304,7,5,24
305,0,1,11
306,12,20,39
307,0,1,14
308,6,4,14
309,4,7,12
310,0,0,8
311,1,0,8
312,0,0,6
313,10,2,17
314,2,0,9
315,8,1,13
316,8,1,13
317,12,0,12
318,9,4,14
319,6,4,19
320,9,2,11
321,1,0,4
322,1,1,8
323,1,0,8
324,2,5,8
325,1,5,15
326,9,3,27
327,1,0,8
328,1,1,10
329,11,0,19
330,8,4,21
331,7,2,13
332,3,6,21
333,5,2,8
334,8,0,6
335,5,0,23
336,3,0,10
337,1,0,8
338,11,3,19
339,5,4,14
340,2,3,3
341,18,6,27
342,1,0,8
343,0,3,7
344,8,1,31
345,14,6,21
346,0,7,4
347,2,1,13
348,1,6,12
349,26,3,25
350,5,0,10
351,2,4,7
352,10,2,29
353,5,2,10
354,2,1,3
355,12,12,28
356,0,3,10
357,12,12,28
358,1,0,8
359,0,1,4
360,12,2,17
361,6,7,15
362,0,0,0
363,4,1,24
364,2,3,4
365,1,4,6
366,3,10,24
367,7,2,8
368,7,3,18
369,1,0,8
370,6,1,14
371,1,2,14
372,1,5,14
373,0,3,2
374,12,2,29
375,4,2,13
376,10,6,25
377,0,3,10
378,4,3,28
379,0,0,0
380,1,0,8
381,6,4,32
382,8,4,18
383,11,2,14
384,5,0,8
385,4,7,11
386,5,7,30
387,12,2,28
388,5,1,19
389,6,3,17
390,6,3,17
391,2,4,6
392,2,0,12
393,5,5,21
394,6,0,13
395,5,5,21
396,3,3,26
397,4,13,22
398,1,4,14
399,5,5,26
400,1,0,10
401,3,2,12
402,8,7,10
403,5,0,9
404,0,1,6
405,9,3,10
406,7,4,14
407,5,1,11
408,7,9,28
409,6,3,13
410,2,8,15
411,3,2,10
412,1,3,12
413,9,2,22
414,8,3,21
415,4,9,16
416,9,3,28
417,12,6,10
418,9,4,18
419,1,0,6
420,2,2,24
421,4,2,8
422,4,2,5
423,4,0,13
424,0,0,0
425,2,0,22
426,2,12,24
427,14,9,29
428,10,3,21
429,10,3,21
430,4,10,24
431,7,2,10
432,4,8,25
433,5,12,26
434,3,9,26
435,3,4,16
436,6,4,24
437,3,8,28
438,0,3,9
439,0,3,10
440,4,2,19
441,7,1,26
442,9,8,20
443,1,1,13
444,2,0,6
445,3,3,18
446,0,0,0
447,0,0,0
448,0,3,10
449,5,1,13
450,5,1,8
451,0,4,4
452,2,0,21
453,0,0,0
454,5,4,15
455,3,4,10
456,8,2,25
457,4,2,26
458,1,1,9
459,16,3,49
460,6,3,11
461,2,8,14
462,6,4,17
463,3,1,13
464,6,0,8
465,6,0,27
466,6,0,27
467,2,7,16
468,0,4,17
469,2,2,27
470,2,2,27
471,10,4,22
472,16,8,27
473,0,3,10
474,9,12,32
475,7,6,7
476,0,0,17
477,4,11,25
478,8,3,21
479,2,1,8
480,4,3,22
481,10,5,14
482,4,0,21
483,6,2,12
484,0,3,10
485,7,4,17
486,0,5,7
487,0,6,8
488,2,2,9
489,13,2,30
490,5,4,11
491,15,4,20
492,6,0,5
493,7,5,24
494,0,0,0
495,0,3,18
496,10,5,13
497,12,0,20
498,7,0,23
499,0,0,0
500,3,2,13
501,2,1,11
502,9,15,12
503,0,0,0
504,4,9,25
505,3,2,21
506,0,0,0
507,2,0,12
508,8,1,18
509,0,2,8
510,0,0,0
511,3,0,15
512,10,11,23
513,0,0,0
514,1,0,9
515,2,3,4
516,2,6,15
517,12,6,27
518,16,0,14
519,13,10,27
520,5,1,11
521,0,0,0
522,0,4,12
523,5,4,10
524,0,0,0
525,12,7,32
526,1,0,11
527,2,3,8
528,0,2,7
529,4,1,10
530,0,3,10
531,4,1,10
532,4,1,11
533,5,3,12
534,10,5,28
535,0,0,0
536,7,0,15
537,9,0,11
538,0,0,0
539,9,0,18
540,5,3,13
541,8,4,27
542,8,0,17
543,1,5,12
544,1,0,5
545,8,2,20
546,0,0,0
547,5,0,11
548,0,0,0
549,15,12,32
550,4,1,8
551,10,2,9
552,7,2,21
553,0,2,8
